--------------------------------------------------------------------------------
		Marvellous Infosystems Process Log
		Log file is created at : Thu Jun 19 12:03:43 2025
--------------------------------------------------------------------------------{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375} 
{'pid': 10612, 'name': 'LockApp.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 47.80859375} 

{'pid': 10628, 'name': 'svchost.exe', 'username': None, 'vms': 2.1171875} 

{'pid': 10744, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 11.30078125} 

{'pid': 10916, 'name': 'taskhostw.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 6.03515625} 

{'pid': 10988, 'name': 'PowerToys.FancyZones.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 57.578125} 

{'pid': 11412, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 85.8046875} 

{'pid': 11736, 'name': 'svchost.exe', 'username': None, 'vms': 1.8984375} 

{'pid': 11740, 'name': 'svchost.exe', 'username': None, 'vms': 15.32421875} 

{'pid': 11888, 'name': 'svchost.exe', 'username': None, 'vms': 3.13671875} 

{'pid': 12356, 'name': 'PowerToys.Awake.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 10.64453125} 

{'pid': 12412, 'name': 'svchost.exe', 'username': None, 'vms': 7.046875} 

{'pid': 12600, 'name': 'svchost.exe', 'username': None, 'vms': 7.01953125} 

{'pid': 12648, 'name': 'AggregatorHost.exe', 'username': None, 'vms': 4.73046875} 

{'pid': 12716, 'name': 'WindowsTerminal.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 69.1640625} 

{'pid': 13052, 'name': 'ipf_helper.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 2.203125} 

{'pid': 13200, 'name': 'IDBWMService.exe', 'username': None, 'vms': 14.21484375} 

{'pid': 13232, 'name': 'sihost.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 7.86328125} 

{'pid': 13520, 'name': 'IDBWM.exe', 'username': None, 'vms': 16.08203125} 

{'pid': 13540, 'name': 'conhost.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 1.33984375} 

{'pid': 13600, 'name': 'unsecapp.exe', 'username': None, 'vms': 2.125} 

{'pid': 13640, 'name': 'svchost.exe', 'username': None, 'vms': 1.9609375} 

{'pid': 13756, 'name': 'svchost.exe', 'username': None, 'vms': 5.40234375} 

{'pid': 13900, 'name': 'svchost.exe', 'username': None, 'vms': 4.859375} 

{'pid': 13944, 'name': 'Code.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 102.8359375} 

{'pid': 14008, 'name': 'smartscreen.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 2.5703125} 

{'pid': 14292, 'name': 'mc-neo-host.exe', 'username': None, 'vms': 19.0234375} 

{'pid': 14376, 'name': 'PowerToys.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 12.05078125} 

{'pid': 14508, 'name': 'python.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 10.72265625} 

{'pid': 14556, 'name': 'PowerToys.AlwaysOnTop.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 17.91796875} 

